X_post:我要请假。。。咳的我后脑勺疼;Y_reply:哎 感冒真的好难受
X_post:抑郁症;Y_reply:我也在一边寻找一边治愈，但是找了很久都没有找到合适的工作。所以现在开始先写小说了，这是我唯一的爱好，不指望它吃饭，但我想慢慢做好。以后我看见你的微博的话我也会给你分享我的一些事情，如果你不介意的话我真的希望我们一起慢慢好起来。 [嘻嘻]
X_post:抑郁症即使死逼高中把我折磨的不像人了，那为什么还会天天晚上梦见坐在教室里专注地听课啊我是不是被中式教育洗脑了？目前就觉得人生一定要按规矩走，小学初中高中大学，这样才对总感觉现在放弃了上高中以后肯定会后悔，人生肯定会留遗憾我肯定被中式教育洗脑 ...全文;Y_reply:回复@晚风晚风吹过来:你家长要是同意的话，我建议你可以去当专业生，因为我也是走的专业生/
X_post:抑郁症 好累，累的要死，不想活了，得了这个病生不如死，也看不到痊愈的希望了，真的不如去死，当时不该来住院，好累啊;Y_reply:Reply @我旁边有个路障:安心治疗，脑科医院很厉害。
X_post:抑郁症 不想上班，我有罪吗;Y_reply:谁想上班
X_post:抑郁症大家请看小猫，我们喵星人就是这么拽 na秋秋的微博视频;Y_reply:太可爱啦
X_post:抑郁症家里最近事不少 姥姥胸椎骨折去手术了 手术之后又不见好 爸爸确诊了睡眠呼吸障碍 可能以后睡觉都得戴呼吸机 他肾也不行 还有糖尿病 妈妈心口疼是常态化问题 妹妹情绪也总糟糕 又来一个阴我们家的 我只能强撑着精神头不成为妈妈的负担 每一个难过的阶段都是自己咬牙熬过来的…每一样都要 ...全文;Y_reply:[抱抱]
X_post:有种说不出的感觉 但就是不舒服;Y_reply:[抱抱]
X_post:刘逸云 #amber2024巡演# #独立音乐人amber刘逸云# 漂亮的让我面红的可爱女人?温柔的让我心疼的可爱女人?聪明的让我感动的可爱女人?坏坏的让我疯狂的可爱女人?@刘逸云Amber 跟宝宝在同一个国度就很开心嘿嘿;Y_reply:你吃烧烤会先烤什么?”“先烤肉啊。”“我会先考虑你。”@刘逸云Amber
X_post:抑郁症好像无论怎么做我都不开心 不知道为什么 自卑恐慌担心害怕在意真的刻在骨子里面了;Y_reply:[抱抱]
X_post:抑郁症早上和中午忘记吃药了 到了下午突然有种被五雷轰顶的崩溃感;Y_reply:好好吃药药 [抱抱]
X_post:我一天天为什么都那么忙;Y_reply:因为每天都在认真工作 "[开学季]"
X_post:睡着能战胜恐惧;Y_reply:害怕什么？
X_post:美工花了好多钱，跟稿费差不多了;Y_reply:真的好贵 [允悲]
X_post:抑郁症我甚至觉得我是个累赘我天天哭天天熬夜老是不吃饭冷冰冰的自己破碎的自己总有不稳定的情绪我总是带坏别人的情绪我讨厌这的样自己手上的疤形容不了我为什么我总是给别人制造那么多麻烦为什么我这么敏感脆弱有时甚至想死的心都有。;Y_reply:害，一样 [跪了]
X_post:抑郁症熬过今晚明天就好了哭累了 就有困意了;Y_reply:[抱抱]
X_post:抑郁症这两天感觉病情恶化了，家里也待的很难受，和家里人处理不好关系。外婆家在河南那边，离这边很远，去外婆家里的蛋糕房学做蛋糕?会不会好一些？心里其实一直想学烘焙。妈的突然想起之前中考时想的就是如果考不上高中就去新东方学烘焙哈哈哈。。。;Y_reply:[抱抱]
X_post:抑郁症 利培酮吃得我疲惫+昏昏欲睡 右佐匹克隆吃得口苦 富马喹硫平片吃得我口干 吃药真的是一件很煎熬的事情。。;Y_reply:回复@月是初语聆星:所以我利培酮一般都放晚上吃
X_post:抑郁症人际关系简直被我搞的一团乱麻，上午第一节课实在受不了，请假回家打算跳江，但是回家里之后，又懒了，江离的有点远，，于是开割，顺便吞了五片奥沙西泮，但只睡了两小时;Y_reply:慢慢来 [抱一抱]
X_post:抑郁症绝了想死;Y_reply:[抱抱]
X_post:抑郁症突然想写一封手写信不知道从哪里下笔，好奇如果大家收到手写信是什么感受;Y_reply:我是想写但发觉没有收件人
X_post:转载了@是舒不是书_ 的微博图片又让我蹭上了;Y_reply:牛 [色]
X_post:蔡徐坤晚安;Y_reply:晚安?
X_post:打雷了。要下雨了。好棒。晚安;Y_reply:打雷下雨都不影响我睡觉 [月亮]
X_post:我知道我会焦虑到睡不着觉;Y_reply:[抱抱]
X_post:抑郁症 今年好不顺，找工作一直在碰壁，要么试岗几天，感觉自己不太喜欢就不干了，好不容易找到了，觉得这个班还可以被辞退了，晚上鼓起勇气去联系之前应聘的发现人家也都招到人了，去boss逛一圈，发现真丢人走投无路了怎么我的2024，那么坎坷呢;Y_reply:回复@今天有早睡喔_:对  然后一边拖延
X_post:抑郁症今早我养了两年的蜗牛摔地上了，出了好多血，不知道它能不能熬过去。好难过，感觉自己好失败，明明早点买一个新的盒子就可以避免悲剧的，结果还是没买，一直到今天它逃出来摔下去。真的好累，感觉好难过，又无能为力。;Y_reply:[抱抱]
X_post:解忧游戏铺 2024.3.26今日是NPC解忧～;Y_reply:晚安 [打call]
X_post:怎么会有人用四年前画的东西做头像啊，，，，（指;Y_reply:画这么棒……?
X_post:抑郁症;Y_reply:好棒?? 医生是怎么让你停药的 [泪]
X_post:抑郁症 我就是虚荣心作祟，我是穷鬼行了吧，你最清高，你最乐观，你最高尚;Y_reply:[抱抱]
X_post:抑郁症死在别人的非议里，死在别人的眼光里，死在别人的议论里，在我的背后，他们都在议论我;Y_reply:[抱一抱]
X_post:抑郁症 快夸我我把家里放了一年的水电池? 卖掉了… 主要怕着火 家里又有猫   今年的电池事故太多了 虽然买的时候 400 多 卖了只有80元但真的拖了一年 …   太不容易了我;Y_reply:棒棒哒
X_post:#赵丽颖沈璃# zly#赵丽颖# “你独占我的春，也融入我的四季”"??? ??????? ??? ????? ???? ?? ???? ???????."@赵丽颖;Y_reply:【赵丽颖与凤行】#赵丽颖沈璃# zly【赵丽颖沈璃】#赵丽颖与凤行# "[小凤凰]"
X_post:褪黑色素真的有用昨天12点就困了?;Y_reply:之前天天熬夜现在喝饮料都会睡 谢谢褪黑素
X_post:何一二的天地 这两周的一丢丢??（吃吃吃吃吃吃喝喝喝喝喝;Y_reply:好棒的9格， [亲亲]
X_post:好耶！是大冒险！;Y_reply:妹妹好可爱！
X_post:上班两年 领导换了三轮 今天早上迎新人（新老大） 他们总是很厉害 差劲的是我;Y_reply:没关系的！我们都是最棒的！加油
X_post:抑郁症?"???? = ??????? ? ???? ???"（翻出之前朋友送的陈年老贴纸和咕盘做了一个小挂件，蓝色尊嘟好治愈）;Y_reply:哇
X_post:抑郁症 浅浅睡了一会，上午那个强烈念头几乎消失了，果然…我连做决定的勇气都没有;Y_reply:"[锦鲤附体]"
X_post:又是emo的晚上;Y_reply:怎么了 [抱抱]
X_post:一只名叫“狗蛋”的喵咪;Y_reply:哈哈 好可爱的名字
X_post:我服了一想到我之前花六百买了个丑皮鞋就心痛;Y_reply:买到了喜欢的鞋子就会觉得之前的花销好值得
X_post:抑郁症感觉自己结婚或者走了吃席的时候可能都没人来送我;Y_reply:回复@心乱如麻辣鱼:不可能的
X_post:宝宝我可以摸摸你私密的地方吗？我就摸摸不进去，我草你妈你钱包怎么是空的;Y_reply:哦！
X_post:每天支撑我吃早饭的只有我早上要吃药爬起来吃早饭让我觉得特别痛苦;Y_reply:我懂！我也是靠吃药才能起床
X_post:失眠好烦，睡不着感觉被针对了所有人都针对我！;Y_reply:你想得太多了吧
X_post:#饿瘦跟运动瘦的区别#运动瘦容易保持，饿瘦除非你没有嘴馋期;Y_reply:确实如此
X_post:抑郁症世界以痛吻我我痛死.世界以痛吻我我痛死.;Y_reply:好美丽的精神状态 一切困难都可以摧毁我. [哈哈]
X_post:不丢 消失 pH值小于7777的微博视频;Y_reply:气质丢宝 [嘻嘻]
X_post:抑郁症一直耳鸣;Y_reply:[抱抱]
X_post:成毅啊啊啊啊啊啊啊啊;Y_reply:[爱你]
X_post:抑郁症 那个…… 我刚刚回宿舍 ，舍友告诉我 ，我干了一个极其尴尬尴尬的事情… 这个事情会让我多年以后都对这件事有深刻印象…… 呃呃呃 … 再也不敢了… 晚安;Y_reply:晚安
X_post:突然累累的完全不想社交，想窝在家里或者哪个角落里画一天画……;Y_reply:抱抱，有时候我们就是需要独处来充电，然后满血复活 [心]
X_post:诗情画奕 好漂亮;Y_reply:"[哇]"
X_post:明天是复查 妈妈第二次不一起去 我想妈妈一起去;Y_reply:[抱抱]
X_post:我在oner超话等级达到LV.8，获得羊羊头衔，老铁双击666，来 oner与我畅聊吧！;Y_reply:吾观此等成就，实乃辛勤耕耘之果，赞之！愿君未来之路更上层楼。
X_post:抑郁症好像紫餐，但是我的刀又丢了，我已经被收了三把刀，掉了两把刀了……;Y_reply:别这样啊
X_post:史铁生永远会被史铁生的文字震撼到;Y_reply:我把史铁生我与地坛这本书看完了，写的真的好
X_post:人家大学真美啊，在操场跑了两圈#这才是大学操场该有的姿态# 上海·上海交通大学(徐汇校区);Y_reply:确实很美，不过跑步的时候要注意安全哦
X_post:分享图片;Y_reply:清冷美女
X_post:宋居寒 寒寒中午好;Y_reply:中午好宝宝 [抱一抱]
X_post:精神的分崩离析是在什么时候开始的呢…;Y_reply:我也在思考这个问题
X_post:抑郁症 老子不想在学校里躯体化啊啊啊啊啊啊啊;Y_reply:天哪抱抱 [抱抱]
X_post:发现我对过去的事已经全部放下全部无感了，即使是伤害过我的人，伤我很深的人，我还可以视而不见，可能这就是一直以来我的成长吧;Y_reply:回复@Estrella__-:我在这里等你
X_post:变身@评论罗伯特;Y_reply:变身魔法需要关注我哦！关注后再发一下试试哦～
X_post:抑郁症 晚饭吃什么呀;Y_reply:回复@Raseannn:没有 家里都做好了饭 不能随便点外卖 准备周末去吃！！ [羞嗒嗒]
X_post:抑郁症我成为抑郁症 超FUN啦 发帖纪念一下~;Y_reply:[抱抱]
X_post:许杨玉琢想见你，想去线下;Y_reply:回复@岁月诗行如梦:嗯呐现在攒钱合影捏 [抱一抱]
X_post:抑郁症 中午刚和表哥说了上班很崩溃嘴不能太快的下场，下午被辞退了…那个主管理由很无语，说我不会熟练使用办公软件，讲话都支支吾吾，我就问他，我试岗期间都学会了他的工作内容，并且熟练掌握，最搞笑的是，你的工作不就是每天拿手机tb下单，刷好评吗，用到办公软件的地方都不是很 ...全文;Y_reply:别多想哦，不一定是你的问题，公司里的一些小变动，或者领导本身想法的问题都会导致被辞退，理由也往往会退在员工身上，只要你认真按时完成自己的工作，问题就一定不在你。
X_post:咪呀——;Y_reply:尖耳朵崽崽
X_post:能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日工作室啊能不能日 ...全文;Y_reply:回复@邓为美得好过分:是啊，我这样阅尽千帆的还好，对于一些初恋的宝宝来说，真的好残忍，真是考验人啊 [悲伤]
X_post:以闪亮之名宝宝，你是一块蓝莓蛋糕;Y_reply:好米 [好爱哦]
X_post:抑郁症感觉越来越严重了;Y_reply:[抱一抱]
X_post:抑郁症确诊重度前买的玩偶;Y_reply:好好爱它
X_post:哭的我头疼 虐爆了#与凤行#;Y_reply:嘿！你也在关注“与凤行”吗？快戳网页链接进入专题页查看并关注相关博主吧，包含@邓科导演 、@九鹭非香 等24位博主哦，热门精彩内容不错过！
X_post:头痛到全身上下动不了的感觉;Y_reply:我也经常这样 真的是很难受
X_post:#长期喝咖啡身体会变成什么样#偶尔喝几天，一阶段一阶段的喝;Y_reply:确实，适量饮酒对身体有益
X_post:确切感觉到自己变笨了，上课讲错好几个地方都没反应过来，还是学生提醒的。望着一个孩子想叫他名字想了半分钟都没想起来，不要真的变傻吧;Y_reply:别担心，大脑在休息中 [喵喵]
X_post:;Y_reply:加油在坚持明天一天就周末了 [伤心]
X_post:双相情感障碍犯病复发是什么样子的;Y_reply:回复@心乱如麻辣鱼:那就把括号里面的部分删掉就好了，总之我的经验就是不要太去思考发病这件事啦，本人也停药两年了，偶尔发病但不影响生活啦，（前几天郁期刚过，现在处于躁期，但是该干啥干啥
X_post:许杨玉琢羊羊宝宝，要一直开心爱鼠你了;Y_reply:真的好可爱啊
X_post:迈出了那一步，就收不回来了。;Y_reply:是的 已经开始了加油 [爱你]
X_post:对不起，我抑制不住内心的喜悦！我在原神棉花娃娃超话等级达到LV.4，获得小有名气头衔，快来恭喜我吧~ 传送门>>原神棉花娃娃;Y_reply:俺老猪也为你高兴，原神棉花娃娃真不错，恭喜恭喜！
X_post:长大后的家，要靠自己经营。;Y_reply:我们只能为自己负责！ [太开心]
X_post:睡着了就不怕了;Y_reply:对
X_post:啊啊啊啊自己把自己锁在门外了，我真的好笨啊;Y_reply:不笨不笨现在进去了吗？ [抱一抱]
X_post:抑郁症 晚安这几天状态不太好，希望明天有精力画画，加油！;Y_reply:晚安 [月亮]
X_post:抑郁症 晚安;Y_reply:晚安
X_post:跟老爸说起这几天情绪糟糕，情绪现在很麻，很平淡，胃又开始疼了。我真的不能好好的吗;Y_reply:爸爸会一直在你身边支持你的，加油
